epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4298.09,0.73626,0.5909,1.16011,0.96462,0.94986,0.97896,0.87533,0.54646,0.29921,0.94958,0.000159986,0.000159986,0.000159986
167,4580.92,0.73307,0.58384,1.15414,0.96533,0.95056,0.97932,0.87633,0.54631,0.29943,0.94965,0.000159137,0.000159137,0.000159137
168,4850.51,0.73621,0.58821,1.15557,0.9649,0.95191,0.97951,0.87589,0.54631,0.29854,0.94976,0.000158289,0.000158289,0.000158289
169,5118.73,0.73809,0.59415,1.15678,0.96446,0.95257,0.97963,0.87632,0.54651,0.29879,0.94988,0.00015744,0.00015744,0.00015744
170,5386.91,0.74213,0.59072,1.15785,0.96446,0.95252,0.97981,0.87647,0.54641,0.29819,0.94984,0.000156591,0.000156591,0.000156591
171,5655.14,0.7389,0.59051,1.15635,0.96359,0.95185,0.97987,0.87671,0.5468,0.29802,0.94995,0.000155743,0.000155743,0.000155743
172,91.045,0.70618,0.54853,1.10589,0.96367,0.95171,0.9799,0.87693,0.54371,0.29571,0.94714,0.000154894,0.000154894,0.000154894
173,186.868,0.69371,0.53497,1.0999,0.96314,0.95244,0.97994,0.87683,0.54379,0.29552,0.94704,0.000154046,0.000154046,0.000154046
174,281.768,0.70975,0.55885,1.11151,0.96341,0.95222,0.97992,0.87687,0.54358,0.29551,0.94689,0.000153197,0.000153197,0.000153197
175,377.213,0.70303,0.54967,1.09945,0.96349,0.95202,0.97973,0.87694,0.54359,0.29513,0.94676,0.000152349,0.000152349,0.000152349
176,472.091,0.68863,0.55691,1.10246,0.96446,0.95212,0.9797,0.87682,0.54355,0.29532,0.94679,0.0001515,0.0001515,0.0001515
177,567.14,0.69793,0.55982,1.10261,0.96457,0.95204,0.97971,0.87696,0.54345,0.29499,0.94675,0.000150651,0.000150651,0.000150651
178,661.961,0.69946,0.55826,1.10609,0.96374,0.95185,0.97964,0.87681,0.54348,0.29468,0.94667,0.000149803,0.000149803,0.000149803
179,757.473,0.68824,0.55097,1.09717,0.96387,0.95178,0.97969,0.87671,0.54335,0.2948,0.94663,0.000148954,0.000148954,0.000148954
180,852.437,0.70238,0.56388,1.10515,0.96364,0.9519,0.97968,0.877,0.54353,0.29471,0.94658,0.000148106,0.000148106,0.000148106
