epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,5367.28,0.9567,0.85223,1.24347,0.94568,0.9387,0.97451,0.82743,0.67044,0.38037,0.95235,0.006667,0.006667,0.006667
103,5534.43,0.97989,0.87646,1.25757,0.95775,0.92727,0.97359,0.82948,0.6625,0.37652,0.95086,0.006634,0.006634,0.006634
104,5701.25,0.96687,0.88062,1.25237,0.95268,0.93362,0.97389,0.82917,0.66777,0.37537,0.95158,0.006601,0.006601,0.006601
105,5866.33,0.96369,0.86731,1.25112,0.9591,0.93288,0.97437,0.82987,0.663,0.3767,0.9492,0.006568,0.006568,0.006568
106,6034.07,0.96324,0.86874,1.24666,0.95609,0.94311,0.97284,0.83014,0.65837,0.37107,0.95043,0.006535,0.006535,0.006535
107,6202.78,0.96193,0.86748,1.25114,0.95656,0.93938,0.97368,0.83055,0.6575,0.3722,0.94976,0.006502,0.006502,0.006502
108,6371.81,0.95731,0.85642,1.24694,0.95638,0.94228,0.97421,0.83236,0.65539,0.36891,0.94509,0.006469,0.006469,0.006469
109,6539.22,0.96472,0.8576,1.24782,0.96022,0.93587,0.97401,0.83156,0.65929,0.37086,0.94622,0.006436,0.006436,0.006436
110,6705.57,0.95646,0.85127,1.24864,0.96008,0.93359,0.97392,0.83101,0.65891,0.36959,0.94499,0.006403,0.006403,0.006403
111,6872.72,0.95623,0.85382,1.24424,0.95589,0.93455,0.97349,0.8309,0.65546,0.36758,0.94417,0.00637,0.00637,0.00637
112,7037.6,0.94913,0.8454,1.24466,0.9523,0.93752,0.97289,0.83137,0.64772,0.36821,0.9415,0.006337,0.006337,0.006337
113,7205.47,0.95436,0.84998,1.24012,0.94885,0.94109,0.97372,0.83419,0.64543,0.3677,0.93887,0.006304,0.006304,0.006304
114,7372.92,0.94959,0.83887,1.23995,0.95215,0.94213,0.97457,0.8346,0.64517,0.36487,0.93738,0.006271,0.006271,0.006271
115,7541.6,0.94849,0.8371,1.23576,0.95961,0.93171,0.97527,0.83559,0.63964,0.36266,0.93607,0.006238,0.006238,0.006238
116,7709.15,0.94077,0.83134,1.23516,0.95385,0.94378,0.97665,0.83784,0.63429,0.36052,0.93401,0.006205,0.006205,0.006205
117,7876.28,0.94723,0.84242,1.23774,0.94808,0.9445,0.97626,0.84055,0.62841,0.35855,0.93295,0.006172,0.006172,0.006172
118,8045.16,0.94213,0.83174,1.23321,0.94546,0.94593,0.97537,0.84181,0.62502,0.35571,0.93153,0.006139,0.006139,0.006139
119,8213.49,0.94359,0.83067,1.23237,0.95062,0.94227,0.97469,0.84167,0.62215,0.35713,0.93158,0.006106,0.006106,0.006106
120,8380.99,0.95041,0.84678,1.23649,0.95536,0.94094,0.97581,0.84231,0.6185,0.3586,0.93086,0.006073,0.006073,0.006073
121,8552.23,0.94207,0.83166,1.2379,0.95542,0.94239,0.97515,0.8427,0.61716,0.35971,0.93133,0.00604,0.00604,0.00604
122,8723.17,0.94647,0.84051,1.24094,0.9543,0.94312,0.97519,0.84466,0.61488,0.35912,0.93117,0.006007,0.006007,0.006007
123,8892.59,0.92903,0.81597,1.22397,0.95836,0.94354,0.97522,0.84463,0.614,0.35847,0.9309,0.005974,0.005974,0.005974
124,9059.39,0.92447,0.80638,1.22291,0.95889,0.94137,0.97523,0.84409,0.615,0.35826,0.93067,0.005941,0.005941,0.005941
125,9226.69,0.92352,0.8001,1.22473,0.95773,0.94168,0.97556,0.84487,0.61648,0.35831,0.93102,0.005908,0.005908,0.005908
126,9394.38,0.93111,0.81753,1.22762,0.95662,0.94248,0.97611,0.84615,0.61654,0.35703,0.93011,0.005875,0.005875,0.005875
127,9563.35,0.92528,0.80527,1.22188,0.94502,0.95146,0.97592,0.84484,0.61855,0.35748,0.93075,0.005842,0.005842,0.005842
128,9733.31,0.9302,0.81236,1.22867,0.94773,0.94917,0.97589,0.84344,0.61902,0.35706,0.93028,0.005809,0.005809,0.005809
129,9900.64,0.92267,0.80789,1.22237,0.95336,0.93951,0.97522,0.84276,0.61814,0.35855,0.92945,0.005776,0.005776,0.005776
130,10069.1,0.92194,0.80836,1.22402,0.94498,0.94742,0.97521,0.84282,0.61942,0.35894,0.92975,0.005743,0.005743,0.005743
131,10235.8,0.92196,0.80431,1.22189,0.9442,0.94655,0.97472,0.84277,0.61867,0.35689,0.92954,0.00571,0.00571,0.00571
132,10405.3,0.9241,0.81601,1.22334,0.94356,0.95078,0.9748,0.84174,0.61869,0.35771,0.9301,0.005677,0.005677,0.005677
133,10572.9,0.92267,0.80533,1.22137,0.94169,0.95002,0.97405,0.84218,0.61903,0.35699,0.93058,0.005644,0.005644,0.005644
134,10739.6,0.91694,0.79339,1.21867,0.94082,0.94942,0.97434,0.84234,0.61872,0.35573,0.93069,0.005611,0.005611,0.005611
